billing_date,cust_id,product_id,revenue,active_users,total_logins,api_calls,storage_used_gb,support_tickets,response_time_hrs,feature_usage_score,customer_satisfaction,training_sessions,integration_count,data_processed_tb,uptime_percentage,performance_score,target
2023-01-31,CUST_0001,prod_10,881.07,193.0,1060.0,37062.0,155.5,8.0,2.1,0.47,5.5,5.0,27.0,20.2,98.87,0.7,Active
2023-02-28,CUST_0001,prod_10,511.15,217.0,1492.0,4065.0,47.2,11.0,12.3,1.03,6.8,11.0,12.0,5.8,97.91,0.8,Active
2023-03-31,CUST_0001,prod_10,1867.32,213.0,72.0,10573.0,321.2,7.0,-0.4,0.3,5.9,1.0,14.0,25.6,97.72,0.61,Engaged
2023-04-30,CUST_0001,prod_10,1086.64,120.0,487.1208746307052,10492.0,121.26130392737936,9.0,26.5,0.5896956898512135,8.4,0.6834333300955173,25.0,10.24043960417988,99.63,0.28,Active
2023-05-31,CUST_0001,prod_10,955.91,20.0,171.0,2749.0,145.4,5.0,13.6,0.82,8.6,1.0,17.0,15.2,96.91,1.29,Active
2023-06-30,CUST_0001,prod_10,700.1,52.0,26.898428227011077,7460.0,47.44730376741278,14.0,10.0,0.52,5.557402192514652,2.0,6.0,3.9,97.35,0.4322412382359867,Active
2023-07-31,CUST_0001,prod_10,1597.33,140.0,804.0,21969.0,72.7,8.0,17.8,1.01,5.9,0.0,7.0,1.5,120.01,0.93,Engaged
2023-08-31,CUST_0001,prod_10,3472.01,12.0,699.0,1797.0,141.6,7.0,28.1,0.67,8.5,2.0,13.0,16.9,99.33,0.93,Active
2023-09-30,CUST_0001,prod_10,2109.52,175.0,842.0,12976.0,26.6,3.0,14.4,0.64,6.1,1.0,5.0,8.6,99.13,0.54,Active
2023-10-31,CUST_0001,prod_10,1001.85,65.0,1649.0,15300.0,106.4,4.0,9.0,0.34,7.4,3.0,6.0,8.7,99.44,0.67,Engaged
2023-11-30,CUST_0001,prod_10,567.6,59.0,95.0,1458.0,178.2,0.0,8.2,0.55,9.6,12.0,14.0,17.4,98.72,1.06,Active
2023-12-31,CUST_0001,prod_10,887.6,75.0,411.0,16074.0,27.95886171388008,1.0,11.898103749409051,0.39,8.6,8.369189651106682,15.512559502653897,6.0,98.35253833532246,0.22,Churned
2023-01-31,CUST_0002,prod_08,231.09,48.0,3336.0,15667.0,107.2,8.0,1.2,1.58,9.9,3.0,1.0,23.0,99.23,0.61,Active
2023-02-28,CUST_0002,prod_08,770.77,103.0,1387.0,10323.0,107.7,2.0,23.8,0.64,5.2,8.0,13.0,6.9,100.03,0.72,Engaged
