billing_date,cust_id,product_id,revenue,active_users,api_calls,storage_gb,support_hours,feature_count,data_processed_gb,integration_count,training_hours
2023-01-31,CUST_032,prod_03,10028.57,54,6625,324.1,6.8,8,1083.7,8,3.9
2023-01-31,CUST_039,prod_02,8736.54,26,6032,123.4,8.1,14,921.7,6,18.6
2023-01-31,CUST_022,prod_03,10969.64,57,9898,515.3,9.4,13,1030.0,3,12.2
2023-01-31,CUST_118,prod_07,7295.8,15,7962,116.4,7.4,6,830.0,3,13.3
2023-01-31,CUST_077,prod_08,10183.46,74,1726,419.3,7.4,9,578.7,6,5.1
2023-01-31,CUST_071,prod_06,6253.95,51,3876,192.2,4.6,6,299.8,7,17.8
2023-01-31,CUST_010,prod_02,8156.8,81,7030,162.1,10.4,8,392.4,6,4.6
2023-01-31,CUST_180,prod_04,8983.72,89,1477,529.3,1.7,11,310.7,4,17.8
2023-01-31,CUST_195,prod_02,10353.88,75,4561,169.6,3.1,8,635.8,7,3.2
2023-01-31,CUST_072,prod_10,8500.4,20,7692,547.3,3.2,8,765.9,9,21.4
2023-01-31,CUST_093,prod_08,8104.06,45,9491,381.3,9.7,8,660.6,7,7.3
2023-01-31,CUST_161,prod_07,9988.14,77,3233,438.1,3.5,7,793.2,2,18.1
2023-01-31,CUST_138,prod_10,7024.98,20,5595,345.5,5.0,4,656.7,7,8.1
2023-01-31,CUST_117,prod_04,7198.58,26,10180,104.0,6.9,3,675.3,7,7.5
2023-01-31,CUST_009,prod_01,8225.31,47,7671,477.5,9.4,9,472.8,2,19.8
2023-01-31,CUST_023,prod_03,9567.34,98,10178,313.6,7.5,8,182.7,7,21.1
2023-01-31,CUST_067,prod_04,11681.23,99,4489,165.6,6.6,16,495.6,7,7.2
2023-01-31,CUST_115,prod_07,6966.51,22,1950,160.7,2.1,7,716.5,3,15.6
2023-01-31,CUST_016,prod_04,8326.85,20,3821,112.2,1.2,13,613.7,8,15.1
2023-01-31,CUST_187,prod_03,8348.62,98,8586,121.9,6.4,16,114.2,8,8.8
2023-01-31,CUST_109,prod_08,12394.88,97,8294,459.6,3.6,14,1023.6,6,11.3
2023-01-31,CUST_148,prod_01,9897.33,99,7605,334.1,8.2,8,410.7,9,16.8
2023-01-31,CUST_126,prod_09,13625.8,109,6416,490.6,2.0,16,847.5,8,15.1
2023-01-31,CUST_103,prod_08,14402.41,106,7230,259.9,3.1,14,1047.6,6,13.3
2023-01-31,CUST_173,prod_06,9575.32,82,8472,513.8,10.0,8,279.9,8,9.3
